time,R,F,T,I
8.215,40.82955913184893,24.292538931146215,18.161497014386523,8.230121321592643
8.22,40.83040478836214,24.291651768724726,18.15945340772661,8.232175485708073
8.225,40.831247148133684,24.29076801235057,18.15741209106729,8.234229221124986
8.23,40.832086216325024,24.289887648994167,18.15537306313493,8.236282525106633
8.235,40.83292199809969,24.28901066566166,18.15333632264979,8.238335394923357
8.24,40.8337544986233,24.28813704939494,18.15130186832597,8.240387827852599
8.245000000000001,40.8345837230635,24.28726678727161,18.149269698871457,8.242439821178893
8.25,40.83540967659005,24.286399866405016,18.147239812988104,8.244491372193869
8.255,40.83623236437474,24.285536273944235,18.145212209371632,8.246542478196254
8.26,40.83705179159144,24.284675997074075,18.14318688671163,8.248593136491872
8.265,40.83786796341611,24.283819023015074,18.141163843691547,8.250643344393637
8.27,40.83868088502674,24.2829653390235,18.139143078988717,8.252693099221565
8.275,40.83949056160342,24.282114932391355,18.137124591274333,8.254742398302767
8.28,40.84029699832829,24.28126779044638,18.135108379213456,8.256791238971443
8.285,40.84110020038557,24.280423900552027,18.13309444146502,8.258839618568897
8.290000000000001,40.84190017296154,24.2795832501075,18.13108277668182,8.260887534443524
8.295,40.84269692124454,24.27874582654773,18.12907338351053,8.262934983950815
8.3,40.843490450424994,24.27791161734337,18.127066260591686,8.264981964453359
8.305,40.844280765695395,24.277080610000816,18.125061406559695,8.267028473320837
8.31,40.84506787225029,24.27625279206219,18.12305882004283,8.269074507930027
8.315,40.8458517752863,24.27542815110535,18.12105849966323,8.271120065664805
8.32,40.846632480002114,24.274606674743875,18.11906044403692,8.27316514391614
8.325,40.8474099915985,24.273788350627086,18.117064651773767,8.275209740082097
8.33,40.84818431527827,24.272973166440035,18.115071121477524,8.277253851567838
8.335,40.84895545624632,24.2721611099035,18.113079851745812,8.27929747578562
8.34,40.84972341970962,24.271352168773998,18.111090841170114,8.281340610154794
8.345,40.8504882108772,24.270546330843764,18.109104088335787,8.28338325210181
8.35,40.85124983496015,24.269743583940784,18.10711959182205,8.28542539906021
8.355,40.85200829717164,24.26894391592876,18.105137350202007,8.287467048470633
8.36,40.85276360272692,24.268147314707132,18.103157362042605,8.289508197780815
8.365,40.853515756843265,24.26735376821107,18.101179625904678,8.291548844445588
8.370000000000001,40.85426476474006,24.266563264411477,18.099204140342927,8.293588985926876
8.375,40.85501063163874,24.265775791314987,18.097230903905917,8.2956286196937
8.38,40.85575336276281,24.264991336963963,18.09525991513608,8.29766774322218
8.385,40.85649296333786,24.264209889436508,18.093291172569725,8.299706353995528
8.39,40.85722943859151,24.263431436846442,18.09132467473702,8.301744449504053
8.395,40.85796279375348,24.26265596734333,18.089360420162013,8.303782027245159
8.4,40.85869303405555,24.26188346911247,18.087398407362603,8.305819084723346
8.405,40.85942016473157,24.261113930374872,18.085438634850576,8.30785561945021
8.41,40.86014419101744,24.2603473393873,18.08348110113158,8.309891628944444
8.415000000000001,40.86086511815116,24.25958368444224,18.081525804705123,8.311927110731832
8.42,40.861582951372775,24.258822953867906,18.079572744064595,8.313962062345256
8.425,40.8622976959244,24.258065136028254,18.077621917697247,8.3159964813247
8.43,40.863009357050224,24.257310219322957,18.0756733240842,8.318030365217231
8.435,40.8637179399965,24.256558192187438,18.073726961700448,8.320063711577024
8.44,40.86442345001156,24.25580904309283,18.071782829014843,8.32209651796534
8.445,40.86512589234578,24.25506276054602,18.069840924490116,8.324128781950543
8.45,40.86582527225163,24.25431933308961,18.067901246582863,8.326160501108088
8.455,40.86652159498363,24.25357874930194,18.06596379374355,8.328191673020527
8.46,40.86721486579838,24.252840997797083,18.064028564416503,8.330222295277508
8.465,40.86790508995455,24.25210606722484,18.062095557039928,8.332252365475775
8.47,40.86859227271285,24.251373946270746,18.060164770045898,8.334281881219166
8.475,40.8692764193361,24.250644623656065,18.05823620186035,8.336310840118616
