time,P,Z,L,B
5.315,4.6429810892465575,34.54930319814795,33.7043335458073,38.61261707381849
5.32,4.637712159570212,34.51861235879844,33.70701908272492,38.623616705226446
5.325,4.632463348376733,34.48795676726742,33.70969892580979,38.634583446166765
5.33,4.6272345838130065,34.45733644486574,33.712373090747796,38.64551733545898
5.335,4.622025794419604,34.42675141243324,33.7150415931702,38.656418412077436
5.34,4.616836909130784,34.39620169033872,33.71770444865358,38.66728671515129
5.345,4.611667857274492,34.36568729847997,33.72036167271986,38.67812228396455
5.3500000000000005,4.606518568572359,34.33520825628372,33.723013280836334,38.68892515795599
5.355,4.601388973139705,34.3047645827057,33.725659288415606,38.69969537671927
5.36,4.596279001485534,34.27435629623061,33.728299710815655,38.7104329800028
5.365,4.591188584512538,34.24398341487209,33.73093456333979,38.72113800770987
5.37,4.586117653517093,34.213645956172776,33.73356386123665,38.73181049989854
5.375,4.581066140189266,34.183343937204285,33.73618761970025,38.74245049678173
5.38,4.576033976612807,34.153077374567175,33.73880585386993,38.75305803872715
5.385,4.571021095265154,34.122846284390995,33.74141857883037,38.763633166257335
5.39,4.566027429017432,34.09265068233426,33.744025809611614,38.77417592004966
5.3950000000000005,4.56105291113445,34.062490583584456,33.74662756118904,38.78468634093629
5.4,4.556097475274708,34.03236600285804,33.74922384848335,38.79516446990423
5.405,4.551161055490389,34.00227695440045,33.75181468636063,38.80561034809529
5.41,4.546243586227363,33.972223451986075,33.754400089632284,38.81602401680612
5.415,4.541345002325189,33.94220550891829,33.75698007305507,38.826405517488155
5.42,4.536465239017109,33.91222313802943,33.75955465133108,38.83675489174768
5.425,4.531604224158507,33.8822763616717,33.76212383992624,38.84707217741971
5.43,4.526761863426759,33.85236522986039,33.76468765659166,38.857357401501666
5.4350000000000005,4.521938089142205,33.82248975731003,33.767246116213805,38.86761060490417
5.44,4.5171328367761925,33.79264995468086,33.76979923333301,38.87783183009266
5.445,4.512346042024923,33.76284583238964,33.77234702245374,38.888021119586114
5.45,4.507577640809453,33.73307740060969,33.77488949804458,38.89817851595713
5.455,4.502827569275697,33.703344669270905,33.77742667453824,38.90830406183185
5.46,4.498095763794423,33.673647648059735,33.779958566331565,38.91839779989
5.465,4.493382160961257,33.64398634641918,33.78248518778551,38.92845977286489
5.47,4.4886866975966795,33.614360773548825,33.78500655322518,38.93849002354341
5.4750000000000005,4.484009310746027,33.584770938404766,33.78752267693979,38.948488594766005
5.48,4.479349937679491,33.555216849699725,33.79003357318266,38.95845552942672
5.485,4.4747085158921225,33.52569851590293,33.792539256171295,38.968390870473165
5.49,4.470084983103823,33.496215945240195,33.79503974008726,38.97829466090652
5.495,4.4654792772593535,33.46676914569388,33.797535039076294,38.988166943781565
5.5,4.460891336528329,33.437358125002916,33.800025167248236,38.998007762206626
5.505,4.456321099305221,33.40798289066278,33.80251013867706,39.00781715934363
5.51,4.451768504209357,33.37864344992553,33.804989967400864,39.01759517840807
5.515,4.44723349008492,33.34933980979976,33.80746466742187,39.02734186266902
5.5200000000000005,4.442715996000948,33.32007197705064,33.80993425270644,39.03705725544913
5.525,4.438215961251338,33.290839958199896,33.812398737185035,39.0467414001246
5.53,4.433733325354838,33.26164375952581,33.81485813475227,39.05639434012526
5.535,4.4292680280550565,33.232483387063226,33.81731245926687,39.06601611893448
5.54,4.424820009320454,33.20335884660356,33.81976172455169,39.075606780089196
5.545,4.420389209344349,33.17427014369475,33.8222059443937,39.08516636717996
5.55,4.415975568544915,33.14521728364133,33.82464513254403,39.09469492385087
5.555,4.411579027565181,33.1162002715044,33.827079302717884,39.1041924937996
5.5600000000000005,4.407199527273033,33.087219112101565,33.829508468594646,39.113659120777434
5.565,4.402837008761212,33.058273810007066,33.83193264381778,39.12309484858918
5.57,4.398491413347315,33.02936436955165,33.834351841994916,39.132499721093275
5.575,4.394162682573795,33.00049079482263,33.83676607669777,39.141873782201685
5.58,4.3898507582079604,32.9716530896639,33.83917536146222,39.15121707588
5.585,4.385555582241976,32.9428512576759,33.84157970978824,39.160529646147346
5.59,4.381277096892861,32.91408530221562,33.84397913513996,39.16981153707644
5.595,4.37701524460249,32.88535522639663,33.846373650945615,39.17906279279359
5.6000000000000005,4.3727699680375975,32.85666103308903,33.848763270597566,39.18828345747866
5.605,4.368541210089771,32.828002724919536,33.85114800745231,39.1974735753651
5.61,4.364328913875452,32.79938030427137,33.85352787483046,39.206633190739936
5.615,4.360133022735942,32.77079377328432,33.855902886016764,39.215762347943766
5.62,4.355953480237393,32.74224313385476,33.858273054260096,39.22486109137078
5.625,4.35179023017082,32.7137283876356,33.86063839277344,39.23392946546871
5.63,4.347643216552084,32.685249536036316,33.86299891473393,39.24296751473891
5.635,4.3435123836219125,32.65680658022296,33.865354633282806,39.25197528373627
5.64,4.339397675845881,32.62839952111812,33.86770556152545,39.26095281706928
5.6450000000000005,4.3352990379144245,32.60002835940095,33.87005171253136,39.26990015940002
5.65,4.331216414742833,32.57169309550718,33.87239309933415,39.27881735544409
5.655,4.327149751471252,32.543393729629074,33.874729734931584,39.28770444997073
5.66,4.323098993464682,32.51513026171547,33.87706163228554,39.29656148780273
5.665,4.319064086312981,32.48690269147178,33.87938880432201,39.30538851381644
5.67,4.315044975830863,32.458711018359935,33.881711263931145,39.314185572941824
5.675,4.311041608057895,32.43055524159847,33.88402902396718,39.32295271016238
5.68,4.307053929258503,32.40243536016245,33.8863420972485,39.33168997051523
5.6850000000000005,4.303081885921967,32.374351372783515,33.88865049655763,39.340397399091025
5.69,4.299125424762423,32.34630327794986,33.890954234641185,39.34907504103402
5.695,4.295184492718864,32.31829107390624,33.89325332420993,39.35772294154204
5.7,4.291259036955137,32.29031475865397,33.895547777938745,39.3663411458665
5.705,4.287349004859946,32.262374329950916,33.89783760846665,39.37492969931237
5.71,4.283454344046851,32.23446978531152,33.90012282839679,39.383488647238195
5.715,4.279575002354267,32.206601122006774,33.90240345029641,39.392018035056125
5.72,4.2757109278454655,32.17876833706423,33.90467948669691,39.400517908231855
5.7250000000000005,4.271862068808573,32.15097142726799,33.9069509500938,39.408988312284684
5.73,4.268028373756572,32.12321038915875,33.909217852946725,39.41742929278746
5.735,4.264209791427301,32.095485219033726,33.91148020767945,39.425840895366626
5.74,4.260406270783455,32.067795912946714,33.91373802667988,39.4342231657022
5.745,4.256617761012583,32.04014246670806,33.915991322300016,39.44257614952777
5.75,4.252844211527093,32.01252487588469,33.91824010685602,39.450899892630495
5.755,4.249085571964245,31.984943135800055,33.92048439262815,39.45919444085114
5.76,4.245341792186157,31.9573972415342,33.9227241918608,39.46745984008401
5.765,4.241612822279803,31.92988718792371,33.924959516762506,39.475696136277
5.7700000000000005,4.237898612557012,31.902412969561734,33.927190379505916,39.4839033754316
5.775,4.234199113554468,31.874974580797986,33.9294167922278,39.49208160360285
5.78,4.2305142760337135,31.847572015738738,33.93163876702906,39.50023086689937
5.785,4.226844050981144,31.820205268246813,33.93385631597472,39.50835121148338
5.79,4.223188389608012,31.7928743319416,33.93606945109394,39.51644268357064
5.795,4.2195472433504255,31.765579200199053,33.938278184379996,39.524505329430525
5.8,4.215920563869349,31.738319866151674,33.94048252779029,39.53253919538596
5.805,4.2123083030506026,31.711096322688537,33.94268249324635,39.54054432781345
5.8100000000000005,4.2087104130048605,31.683908562455258,33.94487809263384,39.54852077314309
5.815,4.205126846067657,31.656756577854043,33.94706933780255,39.55646857785853
5.82,4.201557554799376,31.629640361043627,33.94925624056637,39.56438778849703
5.825,4.198002491985263,31.60255990393932,33.95143881270335,39.57227845164938
5.83,4.194461610635416,31.575515198212987,33.95361706595564,39.58014061395999
5.835,4.190934863984789,31.548506235293058,33.955791012029536,39.587974322126826
5.84,4.187422205493194,31.521533006364514,33.95796066259544,39.59577962290143
