time,V,R,C,M
4.945,28.637578297856745,52.66270421386278,46.32508396164677,29.851056676808323
4.95,28.598859583039378,52.63585539501756,46.33215272870946,29.868482625764354
4.955,28.560211790576346,52.609000446116404,46.339170898487055,29.885889170869483
4.96,28.52163485016589,52.582139477919455,46.34613859858275,29.90327628333791
4.965,28.483128691276892,52.5552726009216,46.3530559565106,29.920643934529444
4.97,28.444693243148883,52.52839992535244,46.359923099695536,29.937992095949472
4.9750000000000005,28.406328434792034,52.501521561176304,46.36674015547332,29.955320739248975
4.98,28.36803419498718,52.47463761809226,46.37350725109058,29.972629836224527
4.985,28.3298104522858,52.44774820553408,46.380224513704796,29.98991935881829
4.99,28.291657135010006,52.4208534326703,46.386892070384306,30.007189279118027
4.995,28.253574171252563,52.393953408404144,46.3935100481083,30.024439569357074
5.0,28.21556148887689,52.36704824137359,46.40007857376682,30.04167020191438
5.005,28.177619015517053,52.340138039951334,46.40659777416078,30.058881149314466
5.01,28.139746678577755,52.3132229122448,46.413067776001924,30.076072384227455
5.015,28.10194440523436,52.28630296609612,46.41948870591286,30.093243879469057
5.0200000000000005,28.06421212243286,52.25937830908221,46.42586069042707,30.11039560800058
5.025,28.02654975688992,52.232449048514646,46.43218385598886,30.12752754292891
5.03,27.98895723509284,52.20551529143978,46.438458328953416,30.144639657506538
5.035,27.95143448329956,52.17857714463866,46.44468423558676,30.161731925131534
5.04,27.913981427538676,52.151634714627086,46.45086170206579,30.17880431934757
5.045,27.876597993609426,52.12468810765557,46.456990854478235,30.195856813843903
5.05,27.839284107081703,52.097737429709355,46.4630718188227,30.212889382455383
5.055,27.80203969329604,52.07078278650841,46.46910472100863,30.22990199916245
5.0600000000000005,27.76486467736362,52.043824283507426,46.47508968685633,30.246894638091142
5.065,27.727758984166275,52.01686202589585,46.481026842096966,30.26386727351307
5.07,27.690722538356486,51.98989611859782,46.48691631237255,30.280819879845456
5.075,27.653755264357375,51.962926666272224,46.49275822323596,30.2977524316511
5.08,27.616857086362714,51.93595377331266,46.49855270015092,30.31466490363841
5.085,27.58002792833692,51.90897754384748,46.504299868492,30.33155727066136
5.09,27.54326771401507,51.88199808173973,46.50999985354465,30.348429507719537
5.095,27.50657636690287,51.85501549058721,46.51565278050515,30.36528158995811
5.1000000000000005,27.469953810276678,51.828029873722436,46.52125877448066,30.382113492667838
5.105,27.433399967183515,51.801041334212655,46.52681796048917,30.398925191285073
